name,category
petro canada,Transportation
petrocan,Transportation
BestBuy,Retail and Grocery
Best Buy,Retail and Grocery
Vision Electronics,Retail and Grocery
Source,Retail and Grocery
Source Electronics,Retail and Grocery
Black and White Barber,Professional and Financial Services
Accountant ,Professional and Financial Services
esso,Transportation
Esso,Transportation
HP Canada,Retail and Grocery
JomaShop,Retail and Grocery
Joma Shop,Retail and Grocery
WatchStation,Retail and Grocery
Watch Station,Retail and Grocery
Netflix,Entertainment
DisneyPlus,Entertainment
Prime Video,Entertainment
Disney Plus,Entertainment
Disney +,Entertainment
Disney,Entertainment
WonderLand,Entertainment
CederFair,Entertainment
Air Canada,Professional and Financial Services
AirCanada,Professional and Financial Services
AirTransat,Professional and Financial Services
Air Transat,Professional and Financial Services
CourseEra,Professional and Financial Services
Course Era,Professional and Financial Services
University of Waterloo,Professional and Financial Services
Actorial,Professional and Financial Services
CIBC,Professional and Financial Services
TD,Professional and Financial Services
National Bank,Professional and Financial Services
NBF,Professional and Financial Services
Bank,Professional and Financial Services
Banking,Professional and Financial Services
University,Professional and Financial Services
Education,Professional and Financial Services
Leetcode,Professional and Financial Services
EBOOK,Professional and Financial Services
EBOOK,Professional and Financial Services
UniversityOfWaterloo ,Professional and Financial Services
EBOOK  UniversityOfWaterloo,Professional and Financial Services
University,Professional and Financial Services
EBOOK  UniversityOfWaterloo,Professional and Financial Services
Accountant ,Professional and Financial Services
HackerRank,Professional and Financial Services
University of Waterloo,Professional and Financial Services
BK #17885                ,Restaurants
AMZ*PWR+                 ,Amazon
PIZZA NOVA #392          ,Restaurants
FEDS - TURNKEY DESK      ,Transportation
LAZEEZ SHAWARMA          ,Restaurants
SECOND CUP 9158          ,Restaurants
SHAWERMA PLUS            ,Restaurants
HARVEYS 0002606 QPS      ,Restaurants
SHAWERMA PLUS            ,Restaurants
BALZACS - WATERLOO       ,Restaurants
TVM WILFRED LAURIER UNIVE,Transportation
TANDOORIS FLAME BRAMPTON ,Restaurants
SHAWERMA PLUS            ,Restaurants
HARVEYS 0002606 QPS      ,Restaurants
LANDMARK 10 WATERLOO     ,Entertainment
UBER BV                ,Transportation
LAZEEZ SHAWARMA          ,Restaurants
SECOND CUP 9158          ,Restaurants
MOZY'S SHAWARMA          ,Restaurants
PIZZA NOVA #392          ,Restaurants
ONEZO TAPIOCA (WATERLOO) ,Restaurants
UNDER ARMOUR             ,Retail and Grocery
BURGER KING #17885       ,Restaurants
UNDER ARMOUR             ,Retail and Grocery
PILAF                    ,Restaurants
PILAF                    ,Restaurants
DOORDASH*THE TANDOORI    ,Restaurants
LAZEEZ SHAWARMA          ,Restaurants
BURRITO BOYZ             ,Restaurants
WAL-MART SUPERCENTER#1120,Retail and Grocery
BOSTON PIZZA # 526       ,Restaurants
STARBUCKS #23314#        ,Restaurants
FAT BASTARD BURRITO      ,Restaurants
THE ALLEY                ,Restaurants
SHAWERMA PLUS            ,Restaurants
LAZEEZ SHAWARMA          ,Restaurants
KENZO RAMEN              ,Restaurants
SHIN WA                  ,Restaurants
AMZN Mktp CA*MB4ZT8R60   ,Amazon
SECOND CUP 9158          ,Restaurants
SHAWERMA PLUS            ,Restaurants
BK #17885                ,Restaurants
ONEZO TAPIOCA (WATERLOO) ,Restaurants
MOZY'S SHAWARMA          ,Restaurants
KABOB HUT                ,Restaurants
SECOND CUP 9158          ,Restaurants
BK #17885                ,Restaurants
FARAH'S FOODMART         ,Retail and Grocery
MELTWICH FOOD CO         ,Restaurants
FRESH BURRITO(MEXICAN GRI,Restaurants
Amazon.ca*MI3TT2ZY1      ,Amazon
WFC WTRLOO WEST          ,Restaurants
THE PUB ON KING          ,Restaurants
